,course_href,course_name,partner_title,instructor,stars,num_reviews,description,outcome,highlight,length,subject,level
0,/learn/excel-essentials,Excel Skills for Business: Essentials,Macquarie University,Nicky Bull +2 more instructors,4.9,9440,"In this first course of the specialization Excel Skills for Business, you will learn the essentials of Microsoft Excel. Within six weeks, you will be able to expertly navigate the Excel user interface, perform basic calculations with formulas and functions, professionally format spreadsheets, and create visualizations of data through charts and graphs.Whether you are self-taught and want to fill in the gaps for better efficiency and productivity, or whether you have never used Excel before, this course will set you up with a solid foundation to become a confident user and develop more advanced skills in later courses. 

The best way to learn Excel is to use Excel. In this course, learners will solve a broad range of business problems as they apply the Excel skills and techniques they learn along the way. This course uses downloadable Excel workbooks and full data sets with applied examples and practical challenge exercises. This provides learners with countless opportunities to practice their Excel skills while discovering new and useful productivity features of Excel for a variety of business contexts.

Spreadsheet software is one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. At a time when digital skills jobs are growing much faster than non-digital jobs, make sure to position yourself ahead of the rest by adding Excel skills to your employment portfolio.","['22%started a new career after completing these courses', '22%got a tangible career benefit from this course', '11%got a pay increase or promotion']","['Course 1 of 4 in the', 'Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 26 hours to complete,data-science,Beginner
1,/learn/excel-essentials,Excel Skills for Business: Essentials,Macquarie University,Nicky Bull +2 more instructors,4.9,9440,"In this first course of the specialization Excel Skills for Business, you will learn the essentials of Microsoft Excel. Within six weeks, you will be able to expertly navigate the Excel user interface, perform basic calculations with formulas and functions, professionally format spreadsheets, and create visualizations of data through charts and graphs.Whether you are self-taught and want to fill in the gaps for better efficiency and productivity, or whether you have never used Excel before, this course will set you up with a solid foundation to become a confident user and develop more advanced skills in later courses. 

The best way to learn Excel is to use Excel. In this course, learners will solve a broad range of business problems as they apply the Excel skills and techniques they learn along the way. This course uses downloadable Excel workbooks and full data sets with applied examples and practical challenge exercises. This provides learners with countless opportunities to practice their Excel skills while discovering new and useful productivity features of Excel for a variety of business contexts.

Spreadsheet software is one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. At a time when digital skills jobs are growing much faster than non-digital jobs, make sure to position yourself ahead of the rest by adding Excel skills to your employment portfolio.","['22%started a new career after completing these courses', '22%got a tangible career benefit from this course', '11%got a pay increase or promotion']","['Course 1 of 4 in the', 'Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 26 hours to complete,business,Beginner
2,/learn/excel-essentials,Excel Skills for Business: Essentials,Macquarie University,Nicky Bull +2 more instructors,4.9,9440,"In this first course of the specialization Excel Skills for Business, you will learn the essentials of Microsoft Excel. Within six weeks, you will be able to expertly navigate the Excel user interface, perform basic calculations with formulas and functions, professionally format spreadsheets, and create visualizations of data through charts and graphs.Whether you are self-taught and want to fill in the gaps for better efficiency and productivity, or whether you have never used Excel before, this course will set you up with a solid foundation to become a confident user and develop more advanced skills in later courses. 

The best way to learn Excel is to use Excel. In this course, learners will solve a broad range of business problems as they apply the Excel skills and techniques they learn along the way. This course uses downloadable Excel workbooks and full data sets with applied examples and practical challenge exercises. This provides learners with countless opportunities to practice their Excel skills while discovering new and useful productivity features of Excel for a variety of business contexts.

Spreadsheet software is one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. At a time when digital skills jobs are growing much faster than non-digital jobs, make sure to position yourself ahead of the rest by adding Excel skills to your employment portfolio.","['22%started a new career after completing these courses', '22%got a tangible career benefit from this course', '11%got a pay increase or promotion']","['Course 1 of 4 in the', 'Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 26 hours to complete,data-science,Beginner
3,/learn/excel-essentials,Excel Skills for Business: Essentials,Macquarie University,Nicky Bull +2 more instructors,4.9,9440,"In this first course of the specialization Excel Skills for Business, you will learn the essentials of Microsoft Excel. Within six weeks, you will be able to expertly navigate the Excel user interface, perform basic calculations with formulas and functions, professionally format spreadsheets, and create visualizations of data through charts and graphs.Whether you are self-taught and want to fill in the gaps for better efficiency and productivity, or whether you have never used Excel before, this course will set you up with a solid foundation to become a confident user and develop more advanced skills in later courses. 

The best way to learn Excel is to use Excel. In this course, learners will solve a broad range of business problems as they apply the Excel skills and techniques they learn along the way. This course uses downloadable Excel workbooks and full data sets with applied examples and practical challenge exercises. This provides learners with countless opportunities to practice their Excel skills while discovering new and useful productivity features of Excel for a variety of business contexts.

Spreadsheet software is one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. At a time when digital skills jobs are growing much faster than non-digital jobs, make sure to position yourself ahead of the rest by adding Excel skills to your employment portfolio.","['22%started a new career after completing these courses', '22%got a tangible career benefit from this course', '11%got a pay increase or promotion']","['Course 1 of 4 in the', 'Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 26 hours to complete,business,Beginner
4,/learn/what-is-datascience,What is Data Science? ,IBM,Rav Ahuja +1 more instructor,4.7,8354,"The art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today.","['29%started a new career after completing these courses', '11%got a pay increase or promotion', '30%got a tangible career benefit from this course']","['English', '100% online', 'Flexible deadlines', 'Shareable Certificate']",Approx. 10 hours to complete,data-science,Beginner
5,/learn/machine-learning-projects,Structuring Machine Learning Projects,DeepLearning.AI,Andrew Ng +2 more instructors,4.8,5254,"In the third course of the Deep Learning Specialization, you will learn how to build a successful machine learning project and get to practice decision-making as a machine learning project leader. By the end, you will be able to diagnose errors in a machine learning system; prioritize strategies for reducing errors; understand complex ML settings, such as mismatched training/test sets, and comparing to and/or surpassing human-level performance; and apply end-to-end learning, transfer learning, and multi-task learning.

This is also a standalone course for learners who have basic machine learning knowledge. This course draws on Andrew Ng’s experience building and shipping many deep learning products. If you aspire to become a technical leader who can set the direction for an AI team, this course provides the ""industry experience"" that you might otherwise get only after years of ML work experience.
 
The Deep Learning Specialization is our foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology. It provides a pathway for you to gain the knowledge and skills to apply machine learning to your work, level up your technical career, and take the definitive step in the world of AI.","['34%got a tangible career benefit from this course', '32%started a new career after completing these courses', '14%got a pay increase or promotion']","['Beginner Level', 'Course 3 of 5 in the', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 5 hours to complete,data-science,Beginner
6,/learn/sql-for-data-science,SQL for Data Science,"University of California, Davis",Sadie St. Lawrence ,4.6,2387,"As data collection has increased exponentially, so has the need for people skilled at using and interacting with data; to be able to think critically, and provide insights to make better decisions and optimize their businesses. This is a data scientist, “part mathematician, part computer scientist, and part trend spotter” (SAS Institute, Inc.). According to Glassdoor, being a data scientist is the best job in America; with a median base salary of $110,000 and thousands of job openings at a time. The skills necessary to be a good data scientist include being able to retrieve and work with data, and to do that you need to be well versed in SQL, the standard language for communicating with database systems.This course is designed to give you a primer in the fundamentals of SQL and working with data so that you can begin analyzing it for data science purposes. You will begin to ask the right questions and come up with good answers to deliver valuable insights for your organization. This course starts with the basics and assumes you do not have any knowledge or skills in SQL. It will build on that foundation and gradually have you write both simple and complex queries to help you select data from tables.  You'll start to work with different types of data like strings and numbers and discuss methods to filter and pare down your results. 

You will create new tables and be able to move data into them. You will learn common operators and how to combine the data. You will use case statements and concepts like data governance and profiling. You will discuss topics on data, and practice using real-world programming assignments. You will interpret the structure, meaning, and relationships in source data and use SQL as a professional to shape your data for targeted analysis purposes. 

Although we do not have any specific prerequisites or software requirements to take this course, a simple text editor is recommended for the final project. So what are you waiting for? This is your first step in landing a job in the best occupation in the US and soon the world!","['28%started a new career after completing these courses', '26%got a tangible career benefit from this course', '11%got a pay increase or promotion']","['Course 1 of 4 in the', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 14 hours to complete,data-science,Beginner
7,/learn/python-for-applied-data-science-ai,"Python for Data Science, AI & Development",IBM,Joseph Santarcangelo ,4.6,3327,"Kickstart your learning of Python for data science, as well as programming in general, with this beginner-friendly introduction to Python. Python is one of the world’s most popular programming languages, and there has never been greater demand for professionals with the ability to apply Python fundamentals to drive business solutions across industries. This course will take you from zero to programming in Python in a matter of hours—no prior programming experience necessary! You will learn Python fundamentals, including data structures and data analysis, complete hands-on exercises throughout the course modules, and create a final project to demonstrate your new skills. 

By the end of this course, you’ll feel comfortable creating basic programs, working with data, and solving real-world problems in Python. You’ll gain a strong foundation for more advanced learning in the field, and develop skills to help advance your career. 

This course can be applied to multiple Specialization or Professional Certificate programs. Completing this course will count towards your learning in any of the following programs: 

IBM Applied AI Professional Certificate 

Applied Data Science Specialization 

IBM Data Science Professional Certificate 

Upon completion of any of the above programs, in addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing your expertise in the field.","['25%got a tangible career benefit from this course', '23%started a new career after completing these courses', '12%got a pay increase or promotion']","['English', '100% online', 'Flexible deadlines', 'Shareable Certificate']",Approx. 19 hours to complete,data-science,Beginner
8,/learn/uva-darden-market-analytics,Marketing Analytics,University of Virginia,Rajkumar Venkatesan ,4.7,1625,"Organizations large and small are inundated with data about consumer choices. But that wealth of information does not always translate into better decisions. Knowing how to interpret data is the challenge -- and marketers in particular are increasingly expected to use analytics to inform and justify their decisions. Marketing analytics enables marketers to measure, manage and analyze marketing performance to maximize its effectiveness and optimize return on investment (ROI). Beyond the obvious sales and lead generation applications, marketing analytics can offer profound insights into customer preferences and trends, which can be further utilized for future marketing and business decisions. 

This course, developed at the Darden School of Business at the University of Virginia, gives you the tools to measure brand and customer assets, understand regression analysis, and design experiments as a way to evaluate and optimize marketing campaigns. You'll leave the course with a solid understanding of how to use marketing analytics to predict outcomes and systematically allocate resources.

You can follow my posts in Twitter, @rajkumarvenk, and on linkedin: https://www.linkedin.com/in/education-marketing.

Thanks, 
Raj
Professor of Business Administration at Darden","['10%got a pay increase or promotion', '18%got a tangible career benefit from this course', '23%started a new career after completing these courses']","['Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 16 hours to complete,data-science,Beginner
9,/learn/uva-darden-market-analytics,Marketing Analytics,University of Virginia,Rajkumar Venkatesan ,4.7,1625,"Organizations large and small are inundated with data about consumer choices. But that wealth of information does not always translate into better decisions. Knowing how to interpret data is the challenge -- and marketers in particular are increasingly expected to use analytics to inform and justify their decisions. Marketing analytics enables marketers to measure, manage and analyze marketing performance to maximize its effectiveness and optimize return on investment (ROI). Beyond the obvious sales and lead generation applications, marketing analytics can offer profound insights into customer preferences and trends, which can be further utilized for future marketing and business decisions. 

This course, developed at the Darden School of Business at the University of Virginia, gives you the tools to measure brand and customer assets, understand regression analysis, and design experiments as a way to evaluate and optimize marketing campaigns. You'll leave the course with a solid understanding of how to use marketing analytics to predict outcomes and systematically allocate resources.

You can follow my posts in Twitter, @rajkumarvenk, and on linkedin: https://www.linkedin.com/in/education-marketing.

Thanks, 
Raj
Professor of Business Administration at Darden","['10%got a pay increase or promotion', '18%got a tangible career benefit from this course', '23%started a new career after completing these courses']","['Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 16 hours to complete,business,Beginner
10,/learn/uva-darden-market-analytics,Marketing Analytics,University of Virginia,Rajkumar Venkatesan ,4.7,1625,"Organizations large and small are inundated with data about consumer choices. But that wealth of information does not always translate into better decisions. Knowing how to interpret data is the challenge -- and marketers in particular are increasingly expected to use analytics to inform and justify their decisions. Marketing analytics enables marketers to measure, manage and analyze marketing performance to maximize its effectiveness and optimize return on investment (ROI). Beyond the obvious sales and lead generation applications, marketing analytics can offer profound insights into customer preferences and trends, which can be further utilized for future marketing and business decisions. 

This course, developed at the Darden School of Business at the University of Virginia, gives you the tools to measure brand and customer assets, understand regression analysis, and design experiments as a way to evaluate and optimize marketing campaigns. You'll leave the course with a solid understanding of how to use marketing analytics to predict outcomes and systematically allocate resources.

You can follow my posts in Twitter, @rajkumarvenk, and on linkedin: https://www.linkedin.com/in/education-marketing.

Thanks, 
Raj
Professor of Business Administration at Darden","['10%got a pay increase or promotion', '18%got a tangible career benefit from this course', '23%started a new career after completing these courses']","['Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 16 hours to complete,data-science,Beginner
11,/learn/uva-darden-market-analytics,Marketing Analytics,University of Virginia,Rajkumar Venkatesan ,4.7,1625,"Organizations large and small are inundated with data about consumer choices. But that wealth of information does not always translate into better decisions. Knowing how to interpret data is the challenge -- and marketers in particular are increasingly expected to use analytics to inform and justify their decisions. Marketing analytics enables marketers to measure, manage and analyze marketing performance to maximize its effectiveness and optimize return on investment (ROI). Beyond the obvious sales and lead generation applications, marketing analytics can offer profound insights into customer preferences and trends, which can be further utilized for future marketing and business decisions. 

This course, developed at the Darden School of Business at the University of Virginia, gives you the tools to measure brand and customer assets, understand regression analysis, and design experiments as a way to evaluate and optimize marketing campaigns. You'll leave the course with a solid understanding of how to use marketing analytics to predict outcomes and systematically allocate resources.

You can follow my posts in Twitter, @rajkumarvenk, and on linkedin: https://www.linkedin.com/in/education-marketing.

Thanks, 
Raj
Professor of Business Administration at Darden","['10%got a pay increase or promotion', '18%got a tangible career benefit from this course', '23%started a new career after completing these courses']","['Beginner Level', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 16 hours to complete,business,Beginner
12,/learn/datasciencemathskills,Data Science Math Skills,Duke University,Daniel Egger +1 more instructor,4.5,2040,"Data science courses contain math—no avoiding that! This course is designed to teach learners the basic math you will need in order to be successful in almost any data science math course and was created for learners who have basic math skills but may not have taken algebra or pre-calculus. Data Science Math Skills introduces the core math that data science is built upon, with no extra complexity, introducing unfamiliar ideas and math symbols one-at-a-time. Learners who complete this course will master the vocabulary, notation, concepts, and algebra rules that all data scientists must know before moving on to more advanced material.

Topics include:
~Set theory, including Venn diagrams
~Properties of the real number line
~Interval notation and algebra with inequalities
~Uses for summation and Sigma notation
~Math on the Cartesian (x,y) plane, slope and distance formulas
~Graphing and describing functions and their inverses on the x-y plane,
~The concept of instantaneous rate of change and tangent lines to a curve
~Exponents, logarithms, and the natural log function.
~Probability theory, including Bayes’ theorem.

While this course is intended as a general introduction to the math skills needed for data science, it can be considered a prerequisite for learners interested in the course, ""Mastering Data Analysis in Excel,"" which is part of the Excel to MySQL Data Science Specialization.  Learners who master Data Science Math Skills will be fully prepared for success with the more advanced math concepts introduced in ""Mastering Data Analysis in Excel."" 

Good luck and we hope you enjoy the course!","['25%started a new career after completing these courses', '25%got a tangible career benefit from this course', '10%got a pay increase or promotion']","['English', '100% online', 'Flexible deadlines', 'Shareable Certificate']",Approx. 13 hours to complete,data-science,Beginner
13,/learn/linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra,Imperial College London,David Dye +2 more instructors,4.7,1919,"In this course on Linear Algebra we look at what linear algebra is and how it relates to vectors and matrices. Then we look through what vectors and matrices are and how to work with them, including the knotty problem of eigenvalues and eigenvectors, and how to use these to solve problems. Finally  we look at how to use these to do fun things with datasets - like how to rotate images of faces and how to extract eigenvectors to look at how the Pagerank algorithm works.Since we're aiming at data-driven applications, we'll be implementing some of these ideas in code, not just on pencil and paper. Towards the end of the course, you'll write code blocks and encounter Jupyter notebooks in Python, but don't worry, these will be quite short, focussed on the concepts, and will guide you through if you’ve not coded before.

At the end of this course you will have an intuitive understanding of vectors and matrices that will help you bridge the gap into linear algebra problems, and how to apply these concepts to machine learning.","['28%started a new career after completing these courses', '28%got a tangible career benefit from this course']","['Course 1 of 3 in the', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 19 hours to complete,data-science,Beginner
14,/learn/basic-statistics,Basic Statistics,University of Amsterdam,Matthijs Rooduijn +1 more instructor,4.6,935,"Understanding statistics is essential to understand research in the social and behavioral sciences. In this course you will learn the basics of statistics; not just how to calculate them, but also how to evaluate them. This course will also prepare you for the next course in the specialization - the course Inferential Statistics. In the first part of the course we will discuss methods of descriptive statistics. You will learn what cases and variables are and how you can compute measures of central tendency (mean, median and mode) and dispersion (standard deviation and variance). Next, we discuss how to assess relationships between variables, and we introduce the concepts correlation and regression. 

The second part of the course is concerned with the basics of probability: calculating probabilities, probability distributions and sampling distributions. You need to know about these things in order to understand how inferential statistics work. 

The third part of the course consists of an introduction to methods of inferential statistics - methods that help us decide whether the patterns we see in our data are strong enough to draw conclusions about the underlying population we are interested in. We will discuss confidence intervals and significance tests.

You will not only learn about all these statistical concepts, you will also be trained to calculate and generate these statistics yourself using freely available statistical software.","['38%started a new career after completing these courses', '28%got a tangible career benefit from this course']","['Course 3 of 5 in the', 'Flexible deadlines', '100% online', 'English', 'Shareable Certificate']",Approx. 27 hours to complete,data-science,Beginner
15,/learn/probability-intro,Introduction to Probability and Data with R,Duke University,Mine Çetinkaya-Rundel ,4.7,1137,"This course introduces you to sampling and exploring data, as well as basic probability theory and Bayes' rule. You will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. A variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. You will be guided through installing and using R and RStudio (free statistical software), and will use this software for lab exercises and a final project. The concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the Specialization.","['30%started a new career after completing these courses', '13%got a pay increase or promotion', '28%got a tangible career benefit from this course']","['Flexible deadlines', '100% online', 'Course 1 of 5 in the', 'English', 'Shareable Certificate']",Approx. 14 hours to complete,data-science,Beginner
